Dependency,Version,License,Link to Code
torch,2.5.1,BSD-3-Clause,https://github.com/pytorch/pytorch
torchvision,0.20.1,BSD-3-Clause,https://github.com/pytorch/vision
numpy,1.26.4,BSD-3-Clause,https://github.com/numpy/numpy
Pillow,10.3.0,HPND,https://github.com/python-pillow/Pillow
einops,0.8.1,MIT,https://github.com/arogozhnikov/einops
timm,1.0.20,Apache-2.0,https://github.com/huggingface/pytorch-image-models
transformers,4.37.0,Apache-2.0,https://github.com/huggingface/transformers
utils3d,1.3,MIT,https://github.com/EasternJournalist/utils3d
huggingface-hub,0.35.1,Apache-2.0,https://github.com/huggingface/huggingface_hub
opencv-python,4.11.0,Apache-2.0,https://github.com/opencv/opencv-python
pycocotools,2.0.10,BSD-2-Clause,https://github.com/ppwwyyxx/cocoapi
pyquaternion,0.9.9,MIT,https://github.com/KieranWynn/pyquaternion
scipy,1.16.2,BSD-3-Clause,https://github.com/scipy/scipy
terminaltables,3.1.10,MIT,https://github.com/matthewdeanmartin/terminaltables
ml-collections,1.1.0,Apache-2.0,https://github.com/google/ml_collections
tqdm,4.67.1,MPL-2.0 AND MIT,https://github.com/tqdm/tqdm
vis4d,1.0.0,Apache-2.0,https://github.com/SysCV/vis4d
sam3 (submodule),N/A,SAM License,https://github.com/facebookresearch/sam3
lingbot-depth (submodule),N/A,Apache-2.0,https://github.com/Robbyant/lingbot-depth
